store,dc,product,Feature_Set_01,Feature_Set_02,Feature_Set_03,Feature_Set_04,Feature_Set_05,Feature_Set_06,Feature_Set_07,Feature_Set_08,Feature_Set_12,Feature_Set_13,Feature_Set_14,Feature_Set_09,Feature_Set_10,Feature_Set_11,Feature_Set_15,Feature_Set_16,Feature_Set_17,Feature_Set_18,Feature_Set_19,Feature_Set_20,Feature_Set_22,Feature_Set_23,Feature_Set_24,Feature_Set_18_v8,Feature_Set_28_v1,Feature_Set_28_v5,Feature_Set_102,Feature_Set_80,Feature_Set_101,Feature_Set_108,Feature_Set_98,Feature_Set_79,Feature_Set_25,Feature_Set_26,Feature_Set_27,Feature_Set_28,Feature_Set_29,Feature_Set_30,Feature_Set_31,Feature_Set_32,Feature_Set_33,Feature_Set_35,Feature_Set_36,Feature_Set_37,Feature_Set_38,Feature_Set_39,Feature_Set_40,Feature_Set_41,Feature_Set_42,Feature_Set_43,Feature_Set_44,Feature_Set_45,Feature_Set_46,Feature_Set_47,Feature_Set_48,Feature_Set_49,Feature_Set_50,Feature_Set_51,Feature_Set_52,Feature_Set_53,Feature_Set_54,Feature_Set_55,Feature_Set_56,Feature_Set_57,Feature_Set_58,Feature_Set_04_v2,Feature_Set_04_v3,Feature_Set_04_v4,Feature_Set_04_v6,Feature_Set_05_v2,Feature_Set_16_v2,Feature_Set_16_v3,Feature_Set_16_v4,Feature_Set_17_v2,Feature_Set_17_v3,Feature_Set_17_v4,Feature_Set_17_v5,Feature_Set_17_v6,Feature_Set_17_v7,Feature_Set_17_v8,Feature_Set_17_v9,Feature_Set_17_v10,Feature_Set_17_v11,Feature_Set_17_v13,Feature_Set_18 _v1,Feature_Set_18 _v2,Feature_Set_18 _v3,Feature_Set_18 _v4,Feature_Set_18 _v5,Feature_Set_18 _v6,Feature_Set_18 _v7,Feature_Set_18 _v8,Feature_Set_18 _v9,Feature_Set_18 _v10,Feature_Set_19_v1,Feature_Set_19_v2,Feature_Set_19_v3,Feature_Set_19_v4,Feature_Set_19_v5,Feature_Set_19_v6,Feature_Set_19_v7,Feature_Set_19_v8,Feature_Set_19_v9,Feature_Set_19_v10,Feature_Set_19_v12,Feature_Set_19_v13,Feature_Set_19_v14,Feature_Set_19_v15,Feature_Set_33_v2,Feature_Set_34,Feature_Set_42_v2,Feature_Set_42_v3,Feature_Set_43_v2,Feature_Set_43_v3,Feature_Set_43_v4,Feature_Set_43_v5,Feature_Set_45_v2,Feature_Set_45_v3,Feature_Set_45_v4,Feature_Set_45_v5,Feature_Set_45_v7,Feature_Set_45_v8,Feature_Set_45_v9,Feature_Set_00,Feature set_04_v2,Feature_Set_06_v2,Feature_Set_06_v3,Feature_Set_06_v4,Feature_Set_06_v5,Feature_Set_07_v2,Feature_Set_08_v2,Feature_Set_09_v2,Feature_Set_10_v2,Feature_Set_10_v4,Feature_Set_10_v5,Feature_Set_10_v6,Feature_Set_11_v1,Feature_Set_11_v2,Feature_Set_11_v3,Feature_Set_11_v4,Feature_Set_11_v5,Feature_Set_11_v6,Feature_Set_11_v7,Feature_Set_51_v2,Feature_Set_51_v3,Feature_Set_57_v2,Feature_Set_30_v4,Feature_Set_30_v5,Feature_Set_32_v1,Feature_Set_32_v2,Feature_Set_34_v1,Feature_Set_34_v2,Feature_Set_34_v3,Feature_Set_34_v4,Feature_Set_35_v1,Feature_Set_35_v2,Feature_Set_35_v3,Feature_Set_35_v4,Feature_Set_35_v5,Feature_Set_35_v6,Feature_Set_35_v7,Feature_Set_35_v8,Feature_Set_35_v9,Feature_Set_36_v1,Feature_Set_36_v2,Feature_Set_36_v3,Feature_Set_36_v4,Feature_Set_36_v5,Feature_Set_36_v6,Feature_Set_37_v1,Feature_Set_37_v2,Feature_Set_37_v3,Feature_Set_00_v4,Feature_Set_00_v5,Feature_Set_00_v6,Feature_Set_00_v7,Feature_Set_00_v9,Feature_Set_00_v10,Feature_Set_00_v11,Feature_Set_00_v12,Feature_Set_00_v14,Feature_Set_00_v15,Feature_Set_00_v16,Feature_Set_00_v17,Feature_Set_00_v18,Feature_Set_00_v19,Feature_Set_00_v20,Feature_Set_00_v22,Feature_Set_00_v23,Feature_Set_00_v24,Feature_Set_00_v25,Feature_Set_00_v26,Feature_Set_00_v27,Feature_Set_00_v28,Feature_Set_00_v29,Feature_Set_00_v30,Feature_Set_00_v31,Feature_Set_00_v32,Feature_Set_00_v33,Feature_Set_00_v34,Feature_Set_00_v35,Feature_Set_00_v36,Feature_Set_00_v37,Feature_Set_00_v38,Feature_Set_00_v39,Feature_Set_20_v7,Feature_Set_05_v3,Feature_Set_43_v6,Feature_Set_43_v7,Feature_Set_44_v3,Feature_Set_44_v4,Feature_Set_44_v5,Feature_Set_44_v6,Feature_Set_44_v7,Feature_Set_44_v8,Feature_Set_44_v9,Feature_Set_44_v10,Feature_Set_44_v11,Feature_Set_44_v12,Feature_Set_21,Feature_Set_11_v8,Feature_Set_16_v1,Feayure_Set_43,Feature_set_43,Feature_Set_55_v2,Feature_Set_55_v3,Feature_Set_55_v4,Feature_Set_55_v5,Feature_Set_55_v6,Feature_Set_55_v7,Feature_Set_55_v8,Feature_Set_55_v9,Feature_Set_55_v10,Feature_Set_55_v11,Feature_Set_55_v12,Feature_Set_55_v13,Feature_Set_55_v14,Feature_Set_55_v16,Feature_Set_55_v17,Feature_Set_30_v7,Feature_Set_30_v8,Feature_Set_59,Feature_Set_34_v5,Feature_Set_34_v6,Feature_Set_53_v1,Feature_Set_37_v4,Feature_Set_37_v5,Feature_Set_37_v6,Feature_Set_37_v7,Feature_Set_41_v2
PCR,NL,DW,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOWES,NL,DRYER,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJS,NL,Cooking,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBY,NL,COOKING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCR,NL,WM,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THD,NL,DRYER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJS,NL,COOKING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THD,DC,DW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THD,NL,COOKING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOWES,NL,WM,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
