seq,product,store,dc,feature_set,seg,period,model,feature,parameter,preprocess,train,score
1,COOKING,ABT,NL,,Target,all,Bi2i_RF_General_V4,"{""feature_1"":""Feature_Set_ABT_NL_COOKING_RF""}","{""fcst_weeks"":26, ""featureset"":""Feature_Set_06""}",preprocess,Bi2i_RF_General_V4,score
2,COOKING,ABT,NL,ABT_NL_COOKING_A98_F06_P01_M01_T,Target,all,Bi2i_XGB_V5,"{""feature_1"":""Feature_Set_ABT_NL_COOKING_other_algo""}","{""fcst_weeks"":26, ""featureset"":""Feature_Set_06""}",preprocess,Bi2i_XGB_V5,score
3,COOKING,ABT,NL,ABT_NL_COOKING_A97_F06_P01_M01_T,Target,all,Bi2i_LGBM_V5,"{""feature_1"":""Feature_Set_ABT_NL_COOKING_other_algo""}","{""fcst_weeks"":26, ""featureset"":""Feature_Set_06""}",preprocess,Bi2i_LGBM_V5,score
4,COOKING,ABT,NL,ABT_NL_COOKING_A01_F01_P03,Target,all,ARIMA_MA,"{""feature_1"" : ""ABT_NL_COOKING_ALL_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA3W""], ""featuresetbase"" : [""MA5W""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_MA,score
5,COOKING,ABT,NL,ABT_NL_COOKING_A02_F01_P03,Target,all,ARIMA_Index,"{""feature_1"" : ""ABT_NL_COOKING_ALL_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA3W"", ""nor_qty""], ""featuresetbase"" : [""MA5W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_Index,score
6,COOKING,ABT,NL,ABT_NL_COOKING_A02_F02_P03,Target,all,ARIMA_Index,"{""feature_1"" : ""ABT_NL_COOKING_TOP_80_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA3W"", ""nor_qty""], ""featuresetbase"" : [""MA5W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_Index,score
7,COOKING,ABT,NL,ABT_NL_COOKING_A03_F01_P03,Target,all,ARIMA_Index_promo,"{""feature_1"" : ""ABT_NL_COOKING_ALL_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA5W"", ""nor_qty""], ""featuresetbase"" : [""MA3W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""],  ""Promo_index_name"":[""Indy"", ""BF""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_Index_promo,score
8,COOKING,ABT,NL,,Target,all,ARIMA_Index_promo,"{""feature_1"" : ""ABT_NL_COOKING_TOP_80_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA5W"", ""nor_qty""], ""featuresetbase"" : [""MA3W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""],  ""Promo_index_name"":[""Indy"", ""BF""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_Index_promo,score
9,COOKING,ABT,NL,ABT_NL_COOKING_A04_F01_P03,Target,all,ARIMA_selective_promo,"{""feature_1"" : ""ABT_NL_COOKING_ALL_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA5W"", ""nor_qty""], ""featuresetbase"" : [""MA3W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""],  ""Promo_index_name"":[""Indy"", ""BF""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_selective_promo,score
10,COOKING,ABT,NL,ABT_NL_COOKING_A04_F02_P03,Target,all,ARIMA_selective_promo,"{""feature_1"" : ""ABT_NL_COOKING_TOP_80_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA5W"", ""nor_qty""], ""featuresetbase"" : [""MA3W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""],  ""Promo_index_name"":[""Indy"", ""BF""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_selective_promo,score
11,COOKING,ABT,NL,ABT_NL_COOKING_A05_F01_P03,Target,all,ARIMA_united,"{""feature_1"" : ""ABT_NL_COOKING_ALL_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA5W"", ""nor_qty""], ""featuresetbase"" : [""MA3W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""],  ""Promo_index_name"":[""Indy"", ""BF""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_united,score
12,COOKING,ABT,NL,ABT_NL_COOKING_A05_F02_P03,Target,all,ARIMA_united,"{""feature_1"" : ""ABT_NL_COOKING_TOP_80_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA5W"", ""nor_qty""], ""featuresetbase"" : [""MA3W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""],  ""Promo_index_name"":[""Indy"", ""BF""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_united,score
13,COOKING,ABT,NL,ABT_NL_COOKING_A06_F01_P03,Target,all,ARIMA_united_discount,"{""feature_1"" : ""ABT_NL_COOKING_ALL_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA5W"", ""nor_qty""], ""featuresetbase"" : [""MA3W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""],  ""Promo_index_name"":[""Indy"", ""BF""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_united_discount,score
14,COOKING,ABT,NL,ABT_NL_COOKING_A06_F02_P03,Target,all,ARIMA_united_discount,"{""feature_1"" : ""ABT_NL_COOKING_TOP_80_INDEX""}","{""order_1"":1,""order_2"":0,""order_3"":0 ,""lambda"":0 , ""featureset"" : [""MA5W"", ""nor_qty""], ""featuresetbase"" : [""MA3W""],""Event"":[""Indy"",""BF"",""Labor"",""Mem""],  ""Promo_index_name"":[""Indy"", ""BF""], ""rounding"" : 0.5, ""tscleanMA"" : 0, ""fcst_weeks"" : 26}",preprocess,ARIMA_united_discount,score
